=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=100, mse_train=135332867.355384, mse_validation=59501547.611264
epoch=101, mse_train=144409252.321389, mse_validation=48235761.188376
epoch=102, mse_train=122869537.360080, mse_validation=55100388.215829
epoch=103, mse_train=134993944.569086, mse_validation=47693264.530868
epoch=104, mse_train=120751560.724343, mse_validation=58975320.795763
epoch=105, mse_train=140947524.733481, mse_validation=51499598.794887
epoch=106, mse_train=126821638.150342, mse_validation=66705907.146015
epoch=107, mse_train=157622068.137053, mse_validation=63085071.890320
epoch=108, mse_train=164871738.097878, mse_validation=72846117.918714
epoch=109, mse_train=175529065.210998, mse_validation=52483533.111801
epoch=110, mse_train=138431221.552473, mse_validation=59076370.450848
epoch=111, mse_train=143827925.884661, mse_validation=56674590.885278
epoch=112, mse_train=138137583.679908, mse_validation=70253165.426580
epoch=113, mse_train=164878295.019258, mse_validation=56543524.812168
epoch=114, mse_train=143638698.172679, mse_validation=65545507.801240
epoch=115, mse_train=151817260.000410, mse_validation=43678092.441825
epoch=116, mse_train=110651721.298881, mse_validation=48891657.490244
epoch=117, mse_train=118731048.553368, mse_validation=43615445.323385
epoch=118, mse_train=109693641.560633, mse_validation=55090151.951359
epoch=119, mse_train=131442703.756786, mse_validation=51384388.651674
epoch=120, mse_train=140063843.213726, mse_validation=76028625.647891
epoch=121, mse_train=185163273.417048, mse_validation=46818463.540408
epoch=122, mse_train=123297540.895669, mse_validation=49275230.013167
epoch=123, mse_train=117446085.709422, mse_validation=40808364.155629
epoch=124, mse_train=103930794.594823, mse_validation=48779556.259009
epoch=125, mse_train=113089687.381763, mse_validation=39882665.529237
epoch=126, mse_train=103014836.741711, mse_validation=49168831.197682
epoch=127, mse_train=113469302.400650, mse_validation=44824453.428238
epoch=128, mse_train=111650816.915827, mse_validation=64760184.850822
epoch=129, mse_train=143706261.228338, mse_validation=52210422.879104
epoch=130, mse_train=139892275.681359, mse_validation=58965136.467725
epoch=131, mse_train=151799705.230577, mse_validation=43810098.947725
epoch=132, mse_train=117476888.236465, mse_validation=46752402.757177
epoch=133, mse_train=117488406.109546, mse_validation=38085940.412769
epoch=134, mse_train=101065144.600010, mse_validation=38304758.385408
epoch=135, mse_train=103585830.779183, mse_validation=37489197.294317
epoch=136, mse_train=101216484.986831, mse_validation=42318686.625198
epoch=137, mse_train=107979639.043575, mse_validation=41213916.525971
epoch=138, mse_train=106172442.917511, mse_validation=42747417.610663
epoch=139, mse_train=110992976.290326, mse_validation=40936374.390895
epoch=140, mse_train=110982621.414733, mse_validation=40715286.048862
epoch=141, mse_train=104755365.785295, mse_validation=37025942.668201
epoch=142, mse_train=101428646.721292, mse_validation=48153975.957188
epoch=143, mse_train=123098160.917840, mse_validation=43057107.304708
epoch=144, mse_train=112772007.989228, mse_validation=39617075.299172
epoch=145, mse_train=101510209.560897, mse_validation=33286339.142187
epoch=146, mse_train=89368109.594115, mse_validation=33594251.281054
epoch=147, mse_train=91082836.970435, mse_validation=36007234.939695
epoch=148, mse_train=93937564.698677, mse_validation=38892131.293636
epoch=149, mse_train=97509525.417661, mse_validation=34909099.318951
epoch=150, mse_train=90110453.206594, mse_validation=39345296.340013
epoch=151, mse_train=96371143.571447, mse_validation=34070274.637940
epoch=152, mse_train=87749733.081014, mse_validation=34223971.126929
epoch=153, mse_train=87520690.251659, mse_validation=30643955.502171
epoch=154, mse_train=80904626.219525, mse_validation=36196703.923775
epoch=155, mse_train=92843922.105042, mse_validation=44616212.082794
epoch=156, mse_train=117813533.169500, mse_validation=59893726.494245
epoch=157, mse_train=144064339.337826, mse_validation=57979601.783418
epoch=158, mse_train=156250971.913846, mse_validation=100585665.546314
epoch=159, mse_train=239184604.414283, mse_validation=52936337.002862
epoch=160, mse_train=140200411.803470, mse_validation=49731350.062028
epoch=161, mse_train=120970062.313808, mse_validation=32681516.316905
epoch=162, mse_train=92259324.141098, mse_validation=38447945.859175
epoch=163, mse_train=98608697.824897, mse_validation=34882018.867821
epoch=164, mse_train=96987405.454355, mse_validation=35426040.285539
epoch=165, mse_train=91400408.507584, mse_validation=31979296.957062
epoch=166, mse_train=94491206.222993, mse_validation=43922231.413100
epoch=167, mse_train=112268833.628659, mse_validation=36713931.809011
epoch=168, mse_train=103235364.451257, mse_validation=44080448.176283
epoch=169, mse_train=107283201.767284, mse_validation=42093962.506892
epoch=170, mse_train=103943051.431664, mse_validation=38430989.967740
epoch=171, mse_train=94698318.710823, mse_validation=28408668.537369
epoch=172, mse_train=76907013.991891, mse_validation=28433763.668116
epoch=173, mse_train=75036887.590016, mse_validation=29840058.758000
epoch=174, mse_train=77853445.135673, mse_validation=30867150.487414
epoch=175, mse_train=77304046.370657, mse_validation=31802036.326725
epoch=176, mse_train=82010113.713171, mse_validation=39176411.915744
epoch=177, mse_train=97018247.975338, mse_validation=37138221.549897
epoch=178, mse_train=91995484.507749, mse_validation=43164844.268271
epoch=179, mse_train=103873807.018476, mse_validation=41514468.869346
epoch=180, mse_train=98789866.163908, mse_validation=50332122.283962
epoch=181, mse_train=122083311.244975, mse_validation=34340938.553827
epoch=182, mse_train=86980511.607703, mse_validation=33473001.896339
epoch=183, mse_train=84199844.976180, mse_validation=30799404.465492
epoch=184, mse_train=78645859.548567, mse_validation=34964204.596954
epoch=185, mse_train=86096661.295983, mse_validation=28824269.777006
epoch=186, mse_train=77984110.172707, mse_validation=34104137.599699
epoch=187, mse_train=88796699.581936, mse_validation=36112491.252256
epoch=188, mse_train=91612583.262834, mse_validation=44328756.627722
epoch=189, mse_train=108427228.901281, mse_validation=45298942.518110
epoch=190, mse_train=110780320.442740, mse_validation=51135455.268934
epoch=191, mse_train=121875178.530226, mse_validation=37096966.861334
epoch=192, mse_train=93978257.250111, mse_validation=34082393.938408
epoch=193, mse_train=82321922.148269, mse_validation=28135628.569249
epoch=194, mse_train=71363759.388929, mse_validation=29520562.750718
epoch=195, mse_train=73349312.134947, mse_validation=27212770.124407
epoch=196, mse_train=69112929.471651, mse_validation=29068612.721691
epoch=197, mse_train=72091856.915355, mse_validation=27177924.907371
epoch=198, mse_train=68396772.794139, mse_validation=32772945.572104
epoch=199, mse_train=78301817.383424, mse_validation=29909241.922570
epoch=200, mse_train=73562358.552944, mse_validation=35496026.685163
epoch=201, mse_train=87046136.912455, mse_validation=35056942.489039
epoch=202, mse_train=87103760.079576, mse_validation=40650730.416597
epoch=203, mse_train=99998366.822500, mse_validation=30822093.347751
epoch=204, mse_train=79451706.289903, mse_validation=34136562.958234
epoch=205, mse_train=84160970.034928, mse_validation=34193929.560251
epoch=206, mse_train=85645377.655271, mse_validation=43710304.124106
epoch=207, mse_train=106163671.816740, mse_validation=34198778.818859
epoch=208, mse_train=83727781.707265, mse_validation=39663135.314458
epoch=209, mse_train=94271639.840674, mse_validation=30309862.648678
epoch=210, mse_train=75480835.012180, mse_validation=34027001.378374
epoch=211, mse_train=80631555.877442, mse_validation=30127943.557051
epoch=212, mse_train=74529316.960236, mse_validation=31909893.545160
epoch=213, mse_train=77177099.472540, mse_validation=26426854.572372
epoch=214, mse_train=65416770.838825, mse_validation=24360110.556838
epoch=215, mse_train=64453976.139374, mse_validation=23625309.494522
epoch=216, mse_train=62842174.542145, mse_validation=27787508.506046
epoch=217, mse_train=71733878.076814, mse_validation=29153831.519253
epoch=218, mse_train=73628533.222647, mse_validation=30566229.252751
epoch=219, mse_train=76880726.772814, mse_validation=30726444.841544
epoch=220, mse_train=78742623.403704, mse_validation=39231091.315092
epoch=221, mse_train=95560417.960273, mse_validation=30466533.621940
epoch=222, mse_train=80892873.320521, mse_validation=33520533.975971
epoch=223, mse_train=83486703.816955, mse_validation=29160239.155438
epoch=224, mse_train=73409786.069343, mse_validation=33141885.566909
epoch=225, mse_train=79317327.818324, mse_validation=30181956.155855
epoch=226, mse_train=74039207.296200, mse_validation=34671237.139342
epoch=227, mse_train=80872283.009409, mse_validation=35859940.059191
epoch=228, mse_train=90859332.043239, mse_validation=47882395.476705
epoch=229, mse_train=111529143.278295, mse_validation=37141870.357484
epoch=230, mse_train=91723231.688562, mse_validation=37616088.706724
epoch=231, mse_train=90474613.425485, mse_validation=27801607.101737
epoch=232, mse_train=69115774.668503, mse_validation=25885632.422939
epoch=233, mse_train=65216578.193466, mse_validation=26429236.315802
epoch=234, mse_train=66940313.438870, mse_validation=30393229.238275
epoch=235, mse_train=73817891.044033, mse_validation=26376977.292393
epoch=236, mse_train=66035229.327315, mse_validation=31747938.833741
epoch=237, mse_train=76585977.925818, mse_validation=29160339.740718
epoch=238, mse_train=74668086.708346, mse_validation=41076487.189331
epoch=239, mse_train=96901325.216955, mse_validation=36766407.410916
epoch=240, mse_train=97170473.677089, mse_validation=52258147.815362
epoch=241, mse_train=128473076.071551, mse_validation=36426463.960019
epoch=242, mse_train=89044130.445047, mse_validation=33277025.285848
epoch=243, mse_train=82408763.324634, mse_validation=22956518.622352
epoch=244, mse_train=58625300.759868, mse_validation=24826047.357749
epoch=245, mse_train=60863750.601918, mse_validation=23056536.554146
epoch=246, mse_train=58970096.651676, mse_validation=26432398.080477
epoch=247, mse_train=65644675.480914, mse_validation=25032306.815148
epoch=248, mse_train=61173553.261125, mse_validation=28561173.346512
epoch=249, mse_train=67116484.067916, mse_validation=25395082.183232
epoch=250, mse_train=62331470.442241, mse_validation=31918875.959319
epoch=251, mse_train=75600980.924905, mse_validation=28266776.156980
epoch=252, mse_train=67208422.973347, mse_validation=31177688.556032
epoch=253, mse_train=76912870.634674, mse_validation=30081691.850495
epoch=254, mse_train=69528936.074012, mse_validation=26585519.463930
epoch=255, mse_train=65877976.920312, mse_validation=25300192.728955
epoch=256, mse_train=68525834.033578, mse_validation=21124302.068057
epoch=257, mse_train=54130272.219227, mse_validation=19830254.502908
epoch=258, mse_train=50806244.861209, mse_validation=24428644.621372
epoch=259, mse_train=59760311.591947, mse_validation=22429118.924882
epoch=260, mse_train=56253819.289619, mse_validation=23666053.431583
epoch=261, mse_train=57299258.274457, mse_validation=26569917.991265
epoch=262, mse_train=61227477.987273, mse_validation=21967952.811869
epoch=263, mse_train=54355084.618979, mse_validation=20673353.157771
epoch=264, mse_train=51860337.250023, mse_validation=21703430.706453
epoch=265, mse_train=55223712.953077, mse_validation=21694762.349807
epoch=266, mse_train=55346670.033547, mse_validation=24810426.602003
epoch=267, mse_train=61838030.253244, mse_validation=19178921.933230
epoch=268, mse_train=48303418.644484, mse_validation=19062365.788041
epoch=269, mse_train=47748924.323446, mse_validation=19646228.284425
epoch=270, mse_train=48164523.133882, mse_validation=22976962.621722
epoch=271, mse_train=54040634.193162, mse_validation=24147604.234625
epoch=272, mse_train=56495364.295212, mse_validation=24197011.694587
epoch=273, mse_train=58587422.148629, mse_validation=25100905.143361
epoch=274, mse_train=60680941.102038, mse_validation=31464980.792584
epoch=275, mse_train=72058696.926603, mse_validation=28606702.322253
epoch=276, mse_train=65466688.421809, mse_validation=24443925.996187
epoch=277, mse_train=59440599.570658, mse_validation=27980395.825565
epoch=278, mse_train=68246404.395615, mse_validation=46241239.717979
epoch=279, mse_train=114467225.697759, mse_validation=30437057.541051
epoch=280, mse_train=73554007.527882, mse_validation=29847310.761454
epoch=281, mse_train=71549853.246817, mse_validation=28082387.780850
epoch=282, mse_train=67281480.196072, mse_validation=26910509.271556
epoch=283, mse_train=65879822.016659, mse_validation=25004097.069400
epoch=284, mse_train=60846626.123981, mse_validation=25489299.297542
epoch=285, mse_train=60647114.852593, mse_validation=23874684.415549
epoch=286, mse_train=56182897.753990, mse_validation=27200416.703045
epoch=287, mse_train=63361750.978463, mse_validation=30757527.342099
epoch=288, mse_train=74795528.005231, mse_validation=34422363.758264
epoch=289, mse_train=86070751.974792, mse_validation=33583590.696694
epoch=290, mse_train=81942922.828141, mse_validation=33426689.755768
epoch=291, mse_train=80439687.064060, mse_validation=33875235.031117
epoch=292, mse_train=82833933.847736, mse_validation=32380273.726814
epoch=293, mse_train=78119794.331901, mse_validation=36182896.064264
epoch=294, mse_train=85323890.716028, mse_validation=30246612.062155
epoch=295, mse_train=73819915.162408, mse_validation=28032471.779822
epoch=296, mse_train=69793290.745010, mse_validation=31312928.438248
epoch=297, mse_train=73344679.450316, mse_validation=21340661.512923
epoch=298, mse_train=51042160.952546, mse_validation=20606106.141651
epoch=299, mse_train=48678883.932178, mse_validation=19372712.108723
epoch=300, mse_train=46117951.406275, mse_validation=19882852.960139
epoch=301, mse_train=46477252.841388, mse_validation=22197496.427033
epoch=302, mse_train=54301099.988290, mse_validation=28520529.681336
epoch=303, mse_train=67202883.474692, mse_validation=27500194.917063
epoch=304, mse_train=66975208.331210, mse_validation=33551384.726574
epoch=305, mse_train=79576850.723823, mse_validation=30141659.263129
epoch=306, mse_train=72007112.457527, mse_validation=36972843.402207
epoch=307, mse_train=86072934.696610, mse_validation=29947201.720445
epoch=308, mse_train=68571444.246519, mse_validation=30563399.617719
epoch=309, mse_train=72857676.084331, mse_validation=28439400.077396
epoch=310, mse_train=67475128.216447, mse_validation=28557370.185994
epoch=311, mse_train=68672221.288900, mse_validation=29371579.806264
epoch=312, mse_train=69319731.844259, mse_validation=25010650.373037
epoch=313, mse_train=61572782.323668, mse_validation=30813380.211951
epoch=314, mse_train=79442394.858651, mse_validation=39722407.535342
epoch=315, mse_train=99560022.123617, mse_validation=26526416.465447
epoch=316, mse_train=65944044.250145, mse_validation=24237370.077466
epoch=317, mse_train=58469080.822988, mse_validation=20543701.774258
epoch=318, mse_train=49426168.602954, mse_validation=19288986.574911
epoch=319, mse_train=47875936.321082, mse_validation=19961525.312249
epoch=320, mse_train=48578961.085309, mse_validation=20826659.951856
epoch=321, mse_train=50228573.007543, mse_validation=21462424.821521
epoch=322, mse_train=52350922.666263, mse_validation=23397680.192766
epoch=323, mse_train=57621132.023474, mse_validation=27514470.631702
epoch=324, mse_train=61148367.240812, mse_validation=21350682.262957
epoch=325, mse_train=51229161.138733, mse_validation=19745776.231313
epoch=326, mse_train=45739343.066396, mse_validation=18962386.494407
epoch=327, mse_train=45497680.627248, mse_validation=21356449.300132
epoch=328, mse_train=50878760.195905, mse_validation=24637169.875915
epoch=329, mse_train=57817113.710523, mse_validation=23210572.793696
epoch=330, mse_train=52762980.703888, mse_validation=24189315.555248
epoch=331, mse_train=59365872.511281, mse_validation=35419985.509059
epoch=332, mse_train=72806283.184828, mse_validation=28462384.882451
epoch=333, mse_train=65032457.139375, mse_validation=22847383.155613
epoch=334, mse_train=51684920.082087, mse_validation=23311964.654572
epoch=335, mse_train=53717262.706907, mse_validation=27075971.522661
epoch=336, mse_train=65919802.036075, mse_validation=23847354.987882
epoch=337, mse_train=52077535.357759, mse_validation=23482081.862262
epoch=338, mse_train=51746347.982169, mse_validation=22185161.563812
epoch=339, mse_train=51205762.011573, mse_validation=24650138.544687
epoch=340, mse_train=58167791.381458, mse_validation=19493842.983216
epoch=341, mse_train=47054858.737754, mse_validation=18474245.597928
epoch=342, mse_train=45779951.947366, mse_validation=23094118.156834
epoch=343, mse_train=57427075.008908, mse_validation=28236476.594496
epoch=344, mse_train=73297453.845277, mse_validation=33796502.993178
epoch=345, mse_train=89463981.857614, mse_validation=21736967.156274
epoch=346, mse_train=59930502.907690, mse_validation=23092179.801786
epoch=347, mse_train=59461115.893966, mse_validation=22857947.017145
epoch=348, mse_train=60820531.719466, mse_validation=24757255.487785
epoch=349, mse_train=59629990.749815, mse_validation=19852303.393999
epoch=350, mse_train=48647087.510905, mse_validation=18439899.045109
epoch=351, mse_train=44319033.758729, mse_validation=17888054.083386
epoch=352, mse_train=43708319.454129, mse_validation=24022065.513007
epoch=353, mse_train=65272552.310317, mse_validation=19372912.636149
epoch=354, mse_train=48003044.072546, mse_validation=14839772.472708
epoch=355, mse_train=39405486.132323, mse_validation=12936761.587884
epoch=356, mse_train=32376874.211134, mse_validation=13206494.885497
epoch=357, mse_train=36026892.626472, mse_validation=16639620.651767
epoch=358, mse_train=45380117.988948, mse_validation=20006526.995964
epoch=359, mse_train=57248307.668423, mse_validation=12729287.444556
epoch=360, mse_train=31985029.135542, mse_validation=12347864.368306
epoch=361, mse_train=31015490.039996, mse_validation=13202911.407839
epoch=362, mse_train=33095432.052896, mse_validation=15751279.319694
epoch=363, mse_train=35679386.369798, mse_validation=11903593.743468
epoch=364, mse_train=29938128.369894, mse_validation=11429737.403627
epoch=365, mse_train=28307894.002763, mse_validation=11356168.343646
epoch=366, mse_train=29116458.738259, mse_validation=13092323.182123
epoch=367, mse_train=32018670.037414, mse_validation=12586055.234763
epoch=368, mse_train=32541412.113925, mse_validation=13631696.348780
epoch=369, mse_train=34187680.012451, mse_validation=14937969.876158
epoch=370, mse_train=39868364.706798, mse_validation=22608610.430830
epoch=371, mse_train=55720106.393222, mse_validation=26311978.615250
epoch=372, mse_train=68744120.636769, mse_validation=26496028.756252
epoch=373, mse_train=61915150.061454, mse_validation=31032741.555248
epoch=374, mse_train=71743770.956823, mse_validation=36703373.248268
epoch=375, mse_train=86368329.228899, mse_validation=29197957.319569
epoch=376, mse_train=64355732.077578, mse_validation=23054707.208139
epoch=377, mse_train=51231242.490069, mse_validation=25497932.310889
epoch=378, mse_train=61029089.736848, mse_validation=24857255.647098
epoch=379, mse_train=59745925.677468, mse_validation=26051523.102160
epoch=380, mse_train=62216021.826170, mse_validation=24778436.707639
epoch=381, mse_train=60712816.949791, mse_validation=33201759.115435
