Computed a variance of 0.210820
=====
Starting experiment.
    learning_rate : 0.1
    |D|           : 5000
    epoch_patience: 100
    results_file  : results.csv
    models_file   : models.csv
=====
            
epoch=100, mse_train=896142782.879486, mse_validation=365913044.464200
epoch=101, mse_train=895523540.682037, mse_validation=365630170.727115
epoch=102, mse_train=894907189.888854, mse_validation=365348612.314137
epoch=103, mse_train=894293715.766556, mse_validation=365068362.545254
epoch=104, mse_train=893683103.663825, mse_validation=364789414.777530
epoch=105, mse_train=893075339.010903, mse_validation=364511762.404888
epoch=106, mse_train=892470407.319097, mse_validation=364235398.857872
epoch=107, mse_train=891868294.180251, mse_validation=363960317.603427
epoch=108, mse_train=891268985.266261, mse_validation=363686512.144669
epoch=109, mse_train=890672466.328568, mse_validation=363413976.020666
epoch=110, mse_train=890078723.197670, mse_validation=363142702.806215
epoch=111, mse_train=889487741.782626, mse_validation=362872686.111620
epoch=112, mse_train=888899508.070572, mse_validation=362603919.582471
epoch=113, mse_train=888314008.126236, mse_validation=362336396.899436
epoch=114, mse_train=887731228.091451, mse_validation=362070111.778037
epoch=115, mse_train=887151154.184700, mse_validation=361805057.968437
epoch=116, mse_train=886573772.700613, mse_validation=361541229.255233
epoch=117, mse_train=885999070.009517, mse_validation=361278619.457238
epoch=118, mse_train=885427032.556960, mse_validation=361017222.427274
epoch=119, mse_train=884857646.863255, mse_validation=360757032.051968
epoch=120, mse_train=884290899.523019, mse_validation=360498042.251536
epoch=121, mse_train=883726777.204709, mse_validation=360240246.979589
epoch=122, mse_train=883165266.650172, mse_validation=359983640.222921
epoch=123, mse_train=882606354.674199, mse_validation=359728216.001310
epoch=124, mse_train=882050028.164074, mse_validation=359473968.367318
epoch=125, mse_train=881496274.079121, mse_validation=359220891.406085
epoch=126, mse_train=880945079.450295, mse_validation=358968979.235141
epoch=127, mse_train=880396431.379699, mse_validation=358718226.004202
epoch=128, mse_train=879850317.040186, mse_validation=358468625.894978
epoch=129, mse_train=879306723.674905, mse_validation=358220173.120974
epoch=130, mse_train=878765638.596887, mse_validation=357972861.927306
epoch=131, mse_train=878227049.188620, mse_validation=357726686.590499
epoch=132, mse_train=877690942.901602, mse_validation=357481641.418309
epoch=133, mse_train=877157307.255962, mse_validation=357237720.749522
epoch=134, mse_train=876626129.839999, mse_validation=356994918.953774
epoch=135, mse_train=876097398.309808, mse_validation=356753230.431364
epoch=136, mse_train=875571100.388839, mse_validation=356512649.613069
epoch=137, mse_train=875047223.867506, mse_validation=356273170.959958
epoch=138, mse_train=874525756.602787, mse_validation=356034788.963211
epoch=139, mse_train=874006686.517796, mse_validation=355797498.143941
epoch=140, mse_train=873490001.601405, mse_validation=355561293.053009
epoch=141, mse_train=872975689.907839, mse_validation=355326168.270849
epoch=142, mse_train=872463739.556293, mse_validation=355092118.407285
epoch=143, mse_train=871954138.730526, mse_validation=354859138.101367
epoch=144, mse_train=871446875.678477, mse_validation=354627222.021183
epoch=145, mse_train=870941938.711885, mse_validation=354396364.863690
epoch=146, mse_train=870439316.205896, mse_validation=354166561.354544
epoch=147, mse_train=869938996.598683, mse_validation=353937806.247927
epoch=148, mse_train=869440968.391089, mse_validation=353710094.326369
epoch=149, mse_train=868945220.146218, mse_validation=353483420.400596
epoch=150, mse_train=868451740.489086, mse_validation=353257779.309343
epoch=151, mse_train=867960518.106240, mse_validation=353033165.919202
epoch=152, mse_train=867471541.745404, mse_validation=352809575.124444
epoch=153, mse_train=866984800.215085, mse_validation=352587001.846867
epoch=154, mse_train=866500282.384244, mse_validation=352365441.035622
epoch=155, mse_train=866017977.181913, mse_validation=352144887.667055
epoch=156, mse_train=865537873.596840, mse_validation=351925336.744545
epoch=157, mse_train=865059960.677152, mse_validation=351706783.298345
epoch=158, mse_train=864584227.529969, mse_validation=351489222.385421
epoch=159, mse_train=864110663.321082, mse_validation=351272649.089295
epoch=160, mse_train=863639257.274596, mse_validation=351057058.519885
epoch=161, mse_train=863169998.672571, mse_validation=350842445.813354
epoch=162, mse_train=862702876.854705, mse_validation=350628806.131955
epoch=163, mse_train=862237881.217959, mse_validation=350416134.663866
epoch=164, mse_train=861775001.216253, mse_validation=350204426.623056
epoch=165, mse_train=861314226.360100, mse_validation=349993677.249115
epoch=166, mse_train=860855546.216294, mse_validation=349783881.807116
epoch=167, mse_train=860398950.407555, mse_validation=349575035.587454
epoch=168, mse_train=859944428.612216, mse_validation=349367133.905707
epoch=169, mse_train=859491970.563895, mse_validation=349160172.102487
epoch=170, mse_train=859041566.051163, mse_validation=348954145.543281
epoch=171, mse_train=858593204.917214, mse_validation=348749049.618325
epoch=172, mse_train=858146877.059561, mse_validation=348544879.742438
epoch=173, mse_train=857702572.429702, mse_validation=348341631.354896
epoch=174, mse_train=857260281.032814, mse_validation=348139299.919274
epoch=175, mse_train=856819992.927421, mse_validation=347937880.923317
epoch=176, mse_train=856381698.225107, mse_validation=347737369.878789
epoch=177, mse_train=855945387.090180, mse_validation=347537762.321336
epoch=178, mse_train=855511049.739373, mse_validation=347339053.810350
epoch=179, mse_train=855078676.441545, mse_validation=347141239.928821
epoch=180, mse_train=854648257.517362, mse_validation=346944316.283214
epoch=181, mse_train=854219783.339012, mse_validation=346748278.503318
epoch=182, mse_train=853793244.329875, mse_validation=346553122.242116
epoch=183, mse_train=853368630.964262, mse_validation=346358843.175655
epoch=184, mse_train=852945933.767086, mse_validation=346165437.002903
