epoch,mse,sum_error
267,173412829.873622,668394671.326226
268,173412829.983442,668394671.281783
269,173412830.089169,668394671.238996
270,173412830.190954,668394671.197803
271,173412830.288944,668394671.158146
272,173412830.383283,668394671.119967
273,173412830.474105,668394671.083210
274,173412830.561542,668394671.047822
275,173412830.645721,668394671.013754
276,173412830.726763,668394670.980955
277,173412830.804784,668394670.949378
278,173412830.879899,668394670.918977
279,173412830.952214,668394670.889709
280,173412831.021835,668394670.861531
281,173412831.088862,668394670.834403
282,173412831.153392,668394670.808285
283,173412831.215517,668394670.783141
284,173412831.275329,668394670.758932
285,173412831.332912,668394670.735626
286,173412831.388349,668394670.713189
287,173412831.441722,668394670.691587
288,173412831.493107,668394670.670789
289,173412831.542577,668394670.650766
290,173412831.590205,668394670.631489
291,173412831.636059,668394670.612930
292,173412831.680205,668394670.595061
293,173412831.722706,668394670.577860
294,173412831.763625,668394670.561298
295,173412831.803020,668394670.545353
296,173412831.840947,668394670.530002
297,173412831.877462,668394670.515224
298,173412831.912618,668394670.500994
299,173412831.946463,668394670.487295
300,173412831.979049,668394670.474106
301,173412832.010421,668394670.461409
302,173412832.040624,668394670.449183
303,173412832.069703,668394670.437415
304,173412832.097699,668394670.426083
305,173412832.124653,668394670.415174
306,173412832.150602,668394670.404671
307,173412832.175586,668394670.394560
308,173412832.199639,668394670.384824
309,173412832.222796,668394670.375451
310,173412832.245091,668394670.366427
311,173412832.266557,668394670.357739
312,173412832.287222,668394670.349375
313,173412832.307119,668394670.341323
314,173412832.326274,668394670.333569
315,173412832.344716,668394670.326106
316,173412832.362472,668394670.318919
317,173412832.379566,668394670.312000
318,173412832.396024,668394670.305339
319,173412832.411869,668394670.298926
320,173412832.427124,668394670.292751
321,173412832.441811,668394670.286808
322,173412832.455951,668394670.281085
323,173412832.469565,668394670.275574
324,173412832.482672,668394670.270270
325,173412832.495291,668394670.265163
326,173412832.507440,668394670.260245
327,173412832.519137,668394670.255511
328,173412832.530398,668394670.250952
329,173412832.541240,668394670.246565
330,173412832.551678,668394670.242340
331,173412832.561728,668394670.238273
332,173412832.571404,668394670.234357
333,173412832.580719,668394670.230587
334,173412832.589687,668394670.226957
335,173412832.598322,668394670.223462
336,173412832.606635,668394670.220098
337,173412832.614639,668394670.216859
338,173412832.622344,668394670.213739
339,173412832.629763,668394670.210737
340,173412832.636906,668394670.207847
341,173412832.643782,668394670.205063
342,173412832.650403,668394670.202383
343,173412832.656777,668394670.199804
344,173412832.662914,668394670.197321
345,173412832.668822,668394670.194929
346,173412832.674510,668394670.192627
347,173412832.679987,668394670.190411
348,173412832.685260,668394670.188277
349,173412832.690336,668394670.186222
350,173412832.695224,668394670.184243
351,173412832.699929,668394670.182340
352,173412832.704459,668394670.180506
353,173412832.708821,668394670.178741
354,173412832.713020,668394670.177042
355,173412832.717063,668394670.175405
356,173412832.720956,668394670.173830
357,173412832.724703,668394670.172313
358,173412832.728311,668394670.170853
359,173412832.731785,668394670.169447
360,173412832.735129,668394670.168093
361,173412832.738349,668394670.166790
362,173412832.741449,668394670.165535
363,173412832.744433,668394670.164327
364,173412832.747307,668394670.163165
365,173412832.750073,668394670.162045
366,173412832.752737,668394670.160967
367,173412832.755301,668394670.159929
368,173412832.757770,668394670.158930
369,173412832.760147,668394670.157969
370,173412832.762435,668394670.157041
371,173412832.764638,668394670.156150
372,173412832.766760,668394670.155292
373,173412832.768802,668394670.154465
374,173412832.770768,668394670.153669
375,173412832.772661,668394670.152902
376,173412832.774484,668394670.152166
377,173412832.776238,668394670.151456
378,173412832.777928,668394670.150771
379,173412832.779554,668394670.150114
380,173412832.781120,668394670.149480
381,173412832.782628,668394670.148870
382,173412832.784079,668394670.148282
383,173412832.785477,668394670.147717
384,173412832.786822,668394670.147172
385,173412832.788117,668394670.146649
386,173412832.789365,668394670.146143
387,173412832.790565,668394670.145657
388,173412832.791721,668394670.145189
389,173412832.792834,668394670.144740
390,173412832.793906,668394670.144306
391,173412832.794937,668394670.143888
392,173412832.795931,668394670.143486
393,173412832.796887,668394670.143099
